activity1,activity2,corr,communities,cluster1,cluster2
# of boys and girls (6 – 59 months) screened for malnutrition,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.364,69,Nutrition,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.364,60,Nutrition,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.364,56,Nutrition,Education
Bread/Flour distribution,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.364,44,FSL,Education
hk_ben,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.364,39,WASH,Education
hp_ben,Emergency Food Rations (EFRs),0.364,34,WASH,FSL
# of boys and girls (6 – 59 months) screened for malnutrition,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.363,63,Nutrition,Education
Psychosocial support (PSS) - GP4,cholera_sew,0.363,27,Protection,WASH
Case management and Referrals - GP5,Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),0.362,76,Protection,Nutrition
Case management and Referrals - GP5,hp_ben,0.362,55,Protection,WASH
Psychosocial support (PSS) - GP4,1.9   Provide children with school water trucking,0.362,48,Protection,Education
water_trucking,1.1.1.1: Provision of core NFIs,0.362,38,WASH,SNFI
hp_pwd_ben,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.362,28,WASH,Education
hp_ben,Ready to Eat Ration,0.361,73,WASH,FSL
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.361,61,Nutrition,Education
swm_support_benf,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.361,55,WASH,Education
Ready to Eat Ration,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.361,44,FSL,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",1.1.1.1: Provision of core NFIs,0.361,25,Nutrition,SNFI
# of caregivers with infants 0-6 months that are counselled on IYCF,1.02.1 Support the provision of formal education to children and youth,0.36,78,Nutrition,Education
"# of PLWs who received micronutrients including iron, folate  for six months","1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.36,67,Nutrition,Education
Case management and Referrals - GP5,hk_ben,0.36,47,Protection,WASH
cholera_sew,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.36,38,WASH,Education
cholera_sew,Free Bread Distribution,0.36,26,WASH,FSL
Risk education - MA1,Cooked Meals,0.36,25,Protection,FSL
Seasonal and supplementary NFIs,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.36,24,SNFI,Education
New people reached with GBV services  - GBV100,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.36,23,Protection,Education
"Mixed Food Items (MFIs, SFBs)","1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.36,22,FSL,Education
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,swm_support_benf,0.359,125,Nutrition,WASH
# of PLWs with moderate acute malnutrition admitted for treatment,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.359,57,Nutrition,Education
# of children 0-6 months EBF,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.359,40,Nutrition,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.359,38,Nutrition,Education
Case management and Referrals - GP5,hp_pwd_ben,0.359,31,Protection,WASH
"Community-based child protection, including psychosocial support and parenting programmes - CP2",beneficiaries_toilets,0.359,29,Protection,WASH
cholera_hp_rcce_iec,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.359,29,WASH,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,water_trucking,0.358,91,Nutrition,WASH
des_beneficiaries,Free Bread Distribution,0.358,41,WASH,FSL
"Community-based child protection, including psychosocial support and parenting programmes - CP2","2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.358,37,Protection,Education
chlorin_cholera,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.358,35,WASH,Education
# of PLWs with moderate acute malnutrition admitted for treatment,swm_support_benf,0.357,110,Nutrition,WASH
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,swm_support_benf,0.357,98,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months","2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.357,61,Nutrition,Education
Psychosocial support (PSS) - GP4,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.357,55,Protection,Nutrition
"Community-based child protection, including psychosocial support and parenting programmes - CP2",swm_support_benf,0.357,52,Protection,WASH
swm_support_benf,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.357,52,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of children 6-59 months reached with HEB for 2 weeks,0.357,47,Protection,Nutrition
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of caregivers with infants 0-6 months that are counselled on IYCF,0.357,43,Protection,Nutrition
# of children 0-6 months EBF,Free Bread Distribution,0.357,37,Nutrition,FSL
cholera_hp_rcce_iec,Free Bread Distribution,0.357,24,WASH,FSL
beneficiaries_toilets,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.357,24,WASH,Education
# PLWs screened for malnutrition,water_trucking,0.356,122,Nutrition,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",water_trucking,0.356,119,Nutrition,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),water_trucking,0.356,118,Nutrition,WASH
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,water_trucking,0.356,115,Nutrition,WASH
# PLWs screened for malnutrition,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.356,68,Nutrition,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,2.05.7 Provide children with recreational materials in formal settings,0.356,51,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months","2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.356,48,Nutrition,Education
Psychosocial support (PSS) - GP4,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.356,43,Protection,Education
hp_ben,1.2.1.2: Installation of new/ replacement of existing tents,0.356,32,WASH,SNFI
des_beneficiaries,"2.06.2 Provide children, teachers and education personnel Covid-19 related awareness raising",0.356,26,WASH,Education
Risk education - MA1,hp_pwd_ben,0.356,25,Protection,WASH
Risk education - MA1,pw_d_beneficiaries_toilet,0.356,21,Protection,WASH
Risk education - MA1,1.2.1.2: Installation of new/ replacement of existing tents,0.356,21,Protection,SNFI
hp_pwd_ben,Seasonal and supplementary NFIs,0.356,21,WASH,SNFI
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.355,74,Nutrition,Education
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.355,66,Nutrition,Education
# PLWs screened for malnutrition,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.355,62,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.355,61,Nutrition,Education
water_trucking,Free Bread Distribution,0.355,50,WASH,FSL
pwd_beneficiaries,1.9   Provide children with school water trucking,0.355,26,WASH,Education
Seasonal and supplementary NFIs,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.355,25,SNFI,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",1.2.1.2: Installation of new/ replacement of existing tents,0.355,24,Nutrition,SNFI
Case management and Referrals - GP5,# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,0.354,71,Protection,Nutrition
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.354,60,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of boys and girls (6 – 59 months) screened for malnutrition,0.354,59,Protection,Nutrition
Case management and Referrals - GP5,1.9   Provide children with school water trucking,0.354,57,Protection,Education
"# of PLWs who received micronutrients including iron, folate  for six months",des_beneficiaries,0.352,92,Nutrition,WASH
Bread/Flour distribution,1.02.1 Support the provision of formal education to children and youth,0.352,74,FSL,Education
# of children 0-6 months EBF,1.02.1 Support the provision of formal education to children and youth,0.352,63,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.352,57,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,0.352,56,Protection,Nutrition
# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.352,56,Nutrition,Education
cholera_hp_rcce_iec,1.02.1 Support the provision of formal education to children and youth,0.352,39,WASH,Education
cholera_hp_rcce_iec,1.9   Provide children with school water trucking,0.352,38,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",2.05.7 Provide children with recreational materials in formal settings,0.352,29,Protection,Education
Case management and Referrals - GP5,"Mixed Food Items (MFIs, SFBs)",0.352,24,Protection,FSL
New people reached with GBV services  - GBV100,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.352,21,Protection,Education
Case management and Referrals - GP5,# of boys and girls (6 - 59 months) who received micronutrient supplements (micronutrient powder (MNP) for four months.,0.351,73,Protection,Nutrition
Psychosocial support (PSS) - GP4,Multipurpose cash,0.351,60,Protection,Cash
"# of PLWs who received micronutrients including iron, folate  for six months",swm_support_benf,0.35,128,Nutrition,WASH
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",1.02.1 Support the provision of formal education to children and youth,0.35,54,Nutrition,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,Bread/Flour distribution,0.349,84,Nutrition,FSL
# of pregnant and lactating women in NW Syria trained on family MUAC approach,des_beneficiaries,0.349,80,Nutrition,WASH
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.349,62,Nutrition,Education
# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.349,54,Nutrition,Education
Case management and Referrals - GP5,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.349,51,Protection,Education
hk_ben,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.349,41,WASH,Education
hp_pwd_ben,1.9   Provide children with school water trucking,0.349,40,WASH,Education
# of children 0-6 months EBF,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.349,37,Nutrition,Education
# PLWs screened for malnutrition,swm_support_benf,0.348,131,Nutrition,WASH
# of boys and girls (6 – 59 months) screened for malnutrition,water_trucking,0.348,121,Nutrition,WASH
hp_pwd_ben,1.02.1 Support the provision of formal education to children and youth,0.348,41,WASH,Education
Multipurpose cash,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.347,64,Cash,Education
# of PLWs with moderate acute malnutrition admitted for treatment,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.347,64,Nutrition,Education
des_beneficiaries,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.347,61,WASH,Education
water_trucking,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.347,39,WASH,Education
sew_rehab_repair,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.347,24,WASH,Education
des_beneficiaries,"1.07.4 classrooms (temporary learning spaces) constructed, established, rehabilitated or repaired in non-formal settings",0.347,22,WASH,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,1.1.1.1: Provision of core NFIs,0.346,35,Nutrition,SNFI
# of children 0-6 months EBF,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.346,29,Nutrition,Education
# PLWs screened for malnutrition,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.345,75,Nutrition,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# PLWs screened for malnutrition,0.345,58,Protection,Nutrition
hp_pwd_ben,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.345,25,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",hp_pwd_ben,0.345,24,Protection,WASH
Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),swm_support_benf,0.344,126,Nutrition,WASH
# of caregivers with infants 0-6 months that are counselled on IYCF,Bread/Flour distribution,0.344,68,Nutrition,FSL
Case management and Referrals - GP5,# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,0.344,67,Protection,Nutrition
des_beneficiaries,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.344,49,WASH,Education
hp_ben,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.344,46,WASH,Education
swm_support_benf,1.1.1.1: Provision of core NFIs,0.344,39,WASH,SNFI
hp_pwd_ben,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.344,36,WASH,Education
Risk education - MA1,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.344,33,Protection,Education
Case management and Referrals - GP5,# of boys and girls (6 – 59 months) screened for malnutrition,0.343,76,Protection,Nutrition
Psychosocial support (PSS) - GP4,hp_ben,0.343,44,Protection,WASH
# of children 0-6 months EBF,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.343,44,Nutrition,Education
beneficiaries_toilets,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.343,28,WASH,Education
Risk education - MA1,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.343,22,Protection,Education
o_m,Animal treatment/vaccination,0.342,36,WASH,FSL
Bread/Flour distribution,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.342,33,FSL,Education
Risk education - MA1,chlorin_cholera,0.342,23,Protection,WASH
"# of PLWs who received micronutrients including iron, folate  for six months",1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.341,73,Nutrition,Education
Case management and Referrals - GP5,# of children 6-59 months reached with HEB for 2 weeks,0.341,59,Protection,Nutrition
Ready to Eat Ration,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.341,47,FSL,Education
# of PLWs received HEB for 2 weeks,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.341,21,Nutrition,Education
# of boys and girls (6 – 59 months) screened for malnutrition,swm_support_benf,0.34,130,Nutrition,WASH
o_m,1.9   Provide children with school water trucking,0.34,62,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Number of caregivers including pregnant and lactating women (PLWs) counselled or reached with awareness on appropriate infant and young child feeding (IYCF),0.34,56,Protection,Nutrition
"Community-based child protection, including psychosocial support and parenting programmes - CP2",Multipurpose cash,0.34,55,Protection,Cash
New people reached with GBV services  - GBV100,# of children 0-6 months EBF,0.34,26,Protection,Nutrition
Ready to Eat Ration,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.339,48,FSL,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,Free Bread Distribution,0.339,46,Nutrition,FSL
# of children 6-59 months reached with HEB for 2 weeks,chlorin_cholera,0.339,39,Nutrition,WASH
Animal treatment/vaccination,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.339,29,FSL,Education
des_beneficiaries,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.339,25,WASH,Education
hp_ben,Multipurpose cash,0.338,95,WASH,Cash
# of pregnant and lactating women in NW Syria trained on family MUAC approach,hp_ben,0.338,85,Nutrition,WASH
cholera_sew,1.9   Provide children with school water trucking,0.338,40,WASH,Education
# of caregivers (including PLW) received messages/education on appropriate IYCF-E through group sessions.,1.1.1.1: Provision of core NFIs,0.338,39,Nutrition,SNFI
# of children 6-59 months reached with HEB for 2 weeks,1.1.1.1: Provision of core NFIs,0.338,35,Nutrition,SNFI
1.1.1.1: Provision of core NFIs,Bread/Flour distribution,0.338,31,SNFI,FSL
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",Free Bread Distribution,0.338,31,Nutrition,FSL
Psychosocial support (PSS) - GP4,cholera_safe_water,0.338,26,Protection,WASH
hp_pwd_ben,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.338,26,WASH,Education
Psychosocial support (PSS) - GP4,hp_pwd_ben,0.338,25,Protection,WASH
New people reached with GBV services  - GBV100,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.338,24,Protection,Education
swm_support_benf,1.02.1 Support the provision of formal education to children and youth,0.337,94,WASH,Education
Bread/Flour distribution,1.9   Provide children with school water trucking,0.337,70,FSL,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2","# of PLWs who received micronutrients including iron, folate  for six months",0.337,56,Protection,Nutrition
Psychosocial support (PSS) - GP4,1.02.1 Support the provision of formal education to children and youth,0.337,47,Protection,Education
Case management and Referrals - GP5,# of children 0-6 months EBF,0.337,44,Protection,Nutrition
1.1.1.1: Provision of core NFIs,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.337,25,SNFI,Education
# of pregnant and lactating women in NW Syria trained on family MUAC approach,water_trucking,0.336,100,Nutrition,WASH
Case management and Referrals - GP5,# PLWs screened for malnutrition,0.336,75,Protection,Nutrition
water_trucking,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.336,60,WASH,Education
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of PLWs with moderate acute malnutrition admitted for treatment,0.336,49,Protection,Nutrition
# of boys and girls (6 – 59 months) screened for malnutrition,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.335,74,Nutrition,Education
# of PLWs with moderate acute malnutrition admitted for treatment,"1.04.1 Provide children and youth with non-formal education programs, including remedial classes, Accelerated Learning Programs (ALP), catch-up classes, literacy and numeracy classes, Self-Learning Program (SLP), etc.",0.335,56,Nutrition,Education
Number of PLW reached with MAM treatment,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.335,44,Nutrition,Education
des_beneficiaries,Animal treatment/vaccination,0.335,38,WASH,FSL
hk_ben,1.06.1 Conduct Back-to-Learning (BTL) campaigns,0.335,23,WASH,Education
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,Ready to Eat Ration,0.334,77,Nutrition,FSL
water_trucking,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.334,75,WASH,Education
swm_support_benf,1.07.13 Provide heaters or fuel for heating in learning spaces and schools in formal settings,0.334,64,WASH,Education
Multipurpose cash,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.334,61,Cash,Education
Awareness raising through contact initiatives - GP2,1.1.1.1: Provision of core NFIs,0.334,28,Protection,SNFI
hp_pwd_ben,Free Bread Distribution,0.334,24,WASH,FSL
Psychosocial support (PSS) - GP4,"2.06.1 Provide children, teachers and education personnel health and hygiene awareness",0.334,21,Protection,Education
des_beneficiaries,Multipurpose cash,0.333,87,WASH,Cash
Case management and Referrals - GP5,"# of PLWs who received micronutrients including iron, folate  for six months",0.333,73,Protection,Nutrition
# of pregnant and lactating women in NW Syria trained on family MUAC approach,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.333,55,Nutrition,Education
"# of adolescent girls who received micronutrients, including iron, folate and Micronutrient tablets for six months",des_beneficiaries,0.333,45,Nutrition,WASH
swm_support_benf,1.2.1.2: Installation of new/ replacement of existing tents,0.333,37,WASH,SNFI
Animal treatment/vaccination,"1.07.12 Provide maintenance and running costs, including cleaning material, stationery for school personnel or fuel, in learning spaces and schools",0.333,28,FSL,Education
water_trucking,Multipurpose cash,0.332,112,WASH,Cash
Case management and Referrals - GP5,# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.332,64,Protection,Nutrition
Multipurpose cash,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.332,57,Cash,Education
# of PLWs with moderate acute malnutrition admitted for treatment,"2.02.2 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in non-formal settings",0.332,51,Nutrition,Education
water_trucking,"1.11 Provide schools with safety and security equipment (First Aid kits, Fire Fighting Equipment, Early Warning Equipment...etc)",0.332,32,WASH,Education
# of children 0-6 months EBF,water_trucking,0.331,65,Nutrition,WASH
# of children 0-6 months EBF,des_beneficiaries,0.331,52,Nutrition,WASH
"Community-based child protection, including psychosocial support and parenting programmes - CP2",# of pregnant and lactating women in NW Syria trained on family MUAC approach,0.331,49,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,hp_pwd_ben,0.331,40,Nutrition,WASH
New people reached with GBV services  - GBV100,hk_ben,0.331,26,Protection,WASH
sew_rehab_repair,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.331,21,WASH,Education
Case management and Referrals - GP5,# of PLWs with moderate acute malnutrition admitted for treatment,0.33,63,Protection,Nutrition
Multipurpose cash,2.03.1 Provide children with school-based psychosocial support programs in formal settings,0.33,54,Cash,Education
Risk education - MA1,"2.02.1 Provide teachers and education personnel with monetary and non-monetary incentives. This including, pre-paid cards/vouchers, transportation allowance, financial payment, etc. to carry out education services in formal settings",0.33,39,Protection,Education
New people reached with GBV services  - GBV100,# of boys and girls (6 - 59 months) with moderate acute malnutrition newly admitted for treatment,0.33,38,Protection,Nutrition
# of boys and girls (6 - 59 months) having severe acute malnutrition without medical complication newly admitted for  treatment,hp_ben,0.329,74,Nutrition,WASH
# of caregivers with infants 0-6 months that are counselled on IYCF,"2.01.1 Provide professional development to teaching staff and education personnel, including psychosocial support, subject knowledge, pedagogical skills, classroom managements, positive discipline, life skills, technical and vocational training, life skills and citizenship education, remote teaching pedagogy, education in emergencies (EiE), national/INEE minimum standards,codes of conduct and anti-bullying, mine risk education, safety/security protocols, etc. in formal settings",0.329,58,Nutrition,Education
swm_support_benf,2.03.2 Provide children with school-based psychosocial support programs in non-formal settings,0.329,40,WASH,Education
des_beneficiaries,1.07.13 Provide heaters or fuel for heating in learning spaces and schools non-formal settings,0.329,35,WASH,Education
# of children 0-6 months EBF,hp_pwd_ben,0.329,31,Nutrition,WASH
1.2.1.2: Installation of new/ replacement of existing tents,Ready to Eat Ration,0.329,31,SNFI,FSL
Risk education - MA1,cholera_sew,0.329,24,Protection,WASH
o_m,"1.08.6 Provide teachers with teaching materials and resources such as chalk, rulers, markers, etc. for teaching in non-formal settings",0.329,22,WASH,Education
Case management and Referrals - GP5,1.02.1 Support the provision of formal education to children and youth,0.328,56,Protection,Education
